,U-Factor Wall [Btu/hr-ft2-°F],U-Factor Roof [Btu/hr-ft2-°F],Net Wall Area [ft2],Net Roof Area [ft2],Glass U-Factor [Btu/hr-ft2-°F],Glass SHGC,Infiltration (cfm/ft2),Window-Wall Ratio,Plug and Process [W/ft2],Lighting [W/ft2],Building Area [ft2],vpz (cfm),vot (cfm),Chiller,Boiler,DX Cooling,DX Heating,Purchased Cooling,Purchased Heating,Geothermal,Heating (kBtu/ft2),Cooling (kBtu/ft2),Fans (kBtu/ft2),Pumps (kBtu/ft2),Heat Rejection (kBtu/ft2),Total Lighting (kBtu/ft2),Total Equipment (kBtu/ft2),Climate Category_cool,Climate Category_hot,Climate Category_temperate,Building Type_Hospital,Building Type_Lodging,Building Type_Office,Building Type_Restaurant,Building Type_Retail,Building Type_School,Building Type_Warehouse
21,0.1848303063331202,0.1510637445040561,4770.950000000001,7105.24,0.3571398463647006,0.3288649947642746,0.1074495453966716,26.08,1.0996835207,0.3557720385,184254.072142,34496.213952000006,34496.213952000006,0,0,1,1,0,0,0,5.259869425969042,0.774903649184826,1.400731968089672,1.8185338426700728,0.0,3.38768286781173,7.371101208353776,1,0,0,0,0,0,0,0,1,0
22,0.2210416709460379,0.1510637445040561,4770.950000000001,7105.24,0.3571398463647006,0.3288649947642746,0.0268656535419813,26.08,1.0996835207,0.3557720385,184254.072142,34496.213952000006,34496.213952000006,0,0,1,1,0,0,0,4.398339532411722,0.9149768459937933,1.399445949022384,1.8524847460464655,0.0,3.38768286781173,7.371101208353776,1,0,0,0,0,0,0,0,1,0
23,0.1848303063331202,0.1510683851166264,4770.950000000001,7122.31,0.2870283821924898,0.2598571241806762,0.0268656535419813,26.08,1.0996835207,0.3557720385,184254.072142,34496.213952000006,34496.213952000006,0,0,1,1,0,0,0,4.3714360135240655,0.8247497482328942,1.4090653716456956,1.8017127132699504,0.0,3.388660242302869,7.371101208353776,1,0,0,0,0,0,0,0,1,0
24,0.3629999999999999,0.358,2704.76,783.66,0.5906729399999999,0.3849999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,38637.564912,4447.105344,1,1,0,1,0,0,0,7.993359690960214,4.104944209485338,2.908024639808403,0.6449791898184015,0.1527050033036947,6.1553937314027936,13.186116363273417,0,0,1,0,1,0,0,0,0,0
25,0.477,0.358,2704.76,783.66,0.5906729399999999,0.3849999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,34666.571904000004,4447.105344,1,1,0,1,0,0,0,8.980267743952377,6.190676565131536,2.9155531425467016,0.7848745018957377,0.2937239725061501,6.1571915828029855,13.186116363273417,0,0,1,0,1,0,0,0,0,0
26,0.3629999999999999,0.358,2704.76,783.66,0.5906729399999999,0.3849999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,31046.253536000004,4447.105344,1,1,0,1,0,0,0,30.207611591716088,1.8583041535220768,2.9620725475266347,0.7008249489368241,0.0855103072215685,6.154270074277675,13.186116363273417,1,0,0,0,1,0,0,0,0,0
27,0.3629999999999999,0.358,2704.76,783.66,0.5906729399999999,0.3849999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,36780.57848,4447.105344,1,1,0,1,0,0,0,15.827160070153507,2.6566625409192453,3.013311312432069,0.6018307562138255,0.0957355870601529,6.154382439990187,13.186116363273417,1,0,0,0,1,0,0,0,0,0
28,0.704,0.358,2704.76,783.66,1.0279540699999998,0.2509999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,52868.598656,4447.105344,1,1,0,1,0,0,0,0.0105623769761201,17.44488923318757,5.3643391153189,1.1029818340169737,0.9312870252987652,6.159551262765736,13.186116363273417,0,0,0,0,1,0,0,0,0,0
29,0.477,0.358,2704.76,783.66,0.5906729399999999,0.3849999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,41841.947136,4447.105344,1,1,0,1,0,0,0,3.409175717611551,6.723402408150532,3.2916411823240863,0.7280174513647081,0.2648459843905875,6.157079217090473,13.186116363273417,0,0,1,0,1,0,0,0,0,0
30,0.312,0.273,2704.76,783.66,0.4605276499999999,0.446,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,38174.165856,4447.105344,1,1,0,1,0,0,0,39.68408632212109,0.8031901130351802,3.813804648366963,0.6625082409702605,0.0326984223409677,6.136853388838327,13.186116363273417,1,0,0,0,1,0,0,0,0,0
